# omega normalized_positive_A_imp_smooth
-1.694235588972431206e+00 4.552015102011535037e-03
-1.680451127819548862e+00 4.650928997506466669e-03
-1.666666666666666741e+00 4.753295643048054304e-03
-1.652882205513784619e+00 4.859284011447595648e-03
-1.639097744360902276e+00 4.969073801114900178e-03
-1.625313283208020154e+00 5.082856276530990126e-03
-1.611528822055138033e+00 5.200835187355678721e-03
-1.597744360902255689e+00 5.323227774748147401e-03
-1.583959899749373568e+00 5.450265874550649058e-03
-1.570175438596491446e+00 5.582197128208989112e-03
-1.556390977443609103e+00 5.719286313702248714e-03
-1.542606516290726981e+00 5.861816810356544616e-03
-1.528822055137844638e+00 6.010092213256507804e-03
-1.515037593984962516e+00 6.164438115082698094e-03
-1.501253132832080395e+00 6.325204075639623974e-03
-1.487468671679198273e+00 6.492765802152256245e-03
-1.473684210526315930e+00 6.667527566664101409e-03
-1.459899749373433586e+00 6.849924890644835951e-03
-1.446115288220551687e+00 7.040427531303159597e-03
-1.432330827067669343e+00 7.239542809212206644e-03
-1.418546365914787000e+00 7.447819322824722303e-03
-1.404761904761905100e+00 7.665851102444341640e-03
-1.390977443609022757e+00 7.894282264423258325e-03
-1.377192982456140413e+00 8.133812236011884328e-03
-1.363408521303258070e+00 8.385201632680784611e-03
-1.349624060150376170e+00 8.649278883221147088e-03
-1.335839598997493827e+00 8.926947713937656570e-03
